"","date","dayHours","dayName","dayNum","freeDay","holidayName","index","monthNum","weekOfMonth","yearNum"
"170","2021-06-19",24,"Saturday",19,TRUE,"",169,6,3,2021
"171","2021-06-20",24,"Sunday",20,TRUE,"",170,6,3,2021
"172","2021-06-21",24,"Monday",21,FALSE,"",171,6,4,2021
"173","2021-06-22",24,"Tuesday",22,FALSE,"",172,6,4,2021
"174","2021-06-23",24,"Wednesday",23,FALSE,"",173,6,4,2021
"175","2021-06-24",24,"Thursday",24,FALSE,"",174,6,4,2021
"176","2021-06-25",24,"Friday",25,TRUE,"Statehood Day",175,6,4,2021
"177","2021-06-26",24,"Saturday",26,TRUE,"",176,6,4,2021
"178","2021-06-27",24,"Sunday",27,TRUE,"",177,6,4,2021
"179","2021-06-28",24,"Monday",28,FALSE,"",178,6,5,2021
"180","2021-06-29",24,"Tuesday",29,FALSE,"",179,6,5,2021
"181","2021-06-30",24,"Wednesday",30,FALSE,"",180,6,5,2021
"182","2021-07-01",24,"Thursday",1,FALSE,"",181,7,1,2021
"183","2021-07-02",24,"Friday",2,FALSE,"",182,7,1,2021
"184","2021-07-03",24,"Saturday",3,TRUE,"",183,7,1,2021
"185","2021-07-04",24,"Sunday",4,TRUE,"",184,7,1,2021
"186","2021-07-05",24,"Monday",5,FALSE,"",185,7,2,2021
"187","2021-07-06",24,"Tuesday",6,FALSE,"",186,7,2,2021
"188","2021-07-07",24,"Wednesday",7,FALSE,"",187,7,2,2021
"189","2021-07-08",24,"Thursday",8,FALSE,"",188,7,2,2021
"190","2021-07-09",24,"Friday",9,FALSE,"",189,7,2,2021
"191","2021-07-10",24,"Saturday",10,TRUE,"",190,7,2,2021
"192","2021-07-11",24,"Sunday",11,TRUE,"",191,7,2,2021
"193","2021-07-12",24,"Monday",12,FALSE,"",192,7,3,2021
"194","2021-07-13",24,"Tuesday",13,FALSE,"",193,7,3,2021
"195","2021-07-14",24,"Wednesday",14,FALSE,"",194,7,3,2021
"196","2021-07-15",24,"Thursday",15,FALSE,"",195,7,3,2021
"197","2021-07-16",24,"Friday",16,FALSE,"",196,7,3,2021
"198","2021-07-17",24,"Saturday",17,TRUE,"",197,7,3,2021
"199","2021-07-18",24,"Sunday",18,TRUE,"",198,7,3,2021
